# 2026-07 Monthly Brief screening ledger
# count=365 | main=3bb929004ff8b547b86e5f1beab0efb3dac19d62 | blob=beb2aa7615b583b4c9c0c269974601a0b26c2684

001 | top  | 2026-07-31 | GL | 2026-07-31_GL_02 | 인도, 5,000MW 수상태양광·최소 2시간 ESS PM-Surya Sarovar 승인 | FACT: 인도 연방 내각은 PM-Surya Sarovar Yojana를 승인했다. 제도는 5,000MW 수상태양광과 최소 2시간 에너지저장장치를 결합하는 구조를 지원한다. | GATE: 이번 사건은 제도 승인 단계이며 개별 프로젝트 선정·착공을 의미하지 않는다. 후속 판단 지점은 세부 사업 선정과 실제 집행 속도다.
012 | top  | 2026-07-21 | GL | 2026-07-21_GL_06 | 고려아연, 호주 2.2GWh 태양광·BESS 투자안 의결 | FACT: 고려아연은 2026년 7월 21일 호주 자회사 Ark Energy가 추진하는 Richmond Valley 프로젝트 투자안을 이사회에서 의결했다. 프로젝트는 200MW 태양광과 2,200MWh BESS를 결합하며 장기 운영을 계획한다. | GATE: 제련·금속기업이 대규모 장주기 저장자산을 계열 재생에너지 포트폴리오에 편입하는 사례다. 이사회 의결 이후 금융종결과 착공, 장기 수익계약 확정이 실제 집행의 기준이 된다.
013 | top  | 2026-07-21 | GL | 2026-07-21_GL_04 | MASPV, 과테말라 130MWp 태양광·100MWh 저장에 15년 PPA 두 건 | FACT: MASPV는 과테말라의 태양광·저장 프로젝트에 대해 15년 PPA 두 건을 체결했다. 프로젝트는 태양광 130MWp와 BESS 100MWh로 구성되며 250만달러의 은행보증과 1억달러를 초과하는 투자가 제시됐다. | GATE: 장기 PPA와 은행보증은 프로젝트 수익구조를 구체화한다. 다만 배터리 출력과 최종 공급개시 시점은 공개되지 않아 금융종결과 건설진척을 별도로 확인해야 한다.
014 | top  | 2026-07-21 | GL | 2026-07-21_GL_03 | NTPC REL, 100MWh 바나듐흐름전지 EPC 사업 Bondada·Delectrik에 낙찰 | FACT: Bondada Engineering과 Delectrik Systems는 NTPC Renewable Energy의 100MWh 바나듐 레독스 흐름전지 사업을 수주했다. 사업에는 10년 운영·유지보수와 낙찰통지 후 10개월 내 완공조건이 포함된다. | GATE: 100MWh급 발주는 인도 비리튬계 장주기 저장의 대형 조달사례다. 다만 아직 준공·운전실적은 없으며 낙찰통지 후 10개월 내 완공조건과 장기운전 성능을 확인해야 한다.
015 | top  | 2026-07-21 | GL | 2026-07-21_GL_02 | Wooreen BESS, Wärtsilä 배터리 유닛 1,038개 설치 완료 | FACT: Zenviron은 2026년 7월 21일 Wooreen ESS 현장에 1,038번째이자 마지막 Wärtsilä Quantum 유닛을 안전하게 반입·설치해 모든 배터리 설치를 완료했다고 밝혔다. 독립 전문매체들도 같은 이정표를 확인했으며, 프로젝트 규모는 350MW·약 1,400MWh다. | GATE: 1,400MWh급 BESS에서 배터리 기자재 전량 설치가 끝나면서 프로젝트는 잔여 시운전과 계통연계 공정으로 넘어간다. 다만 이는 전체 프로젝트 준공이나 상업운전 개시를 뜻하지 않으며, 2027년 운영 목표까지 시험·계통접속 절차가 남아 있다.
016 | top  | 2026-07-21 | GL | 2026-07-21_GL_01 | SECI, 인도 양수발전 1,344MW 경쟁입찰 물량 3사 배정 | FACT: 인도 태양에너지공사(SECI)는 양수발전(PHES) 경쟁입찰에서 총 1,344MW를 3개 사업자에 배정했다. Greenko가 720MW, Torrent Energy Storage Solutions가 300MW, Tata Power가 324MW를 각각 확보했다. | GATE: 이번 결과는 인도의 장주기 저장조달이 GW급 사업자 배정 단계로 구체화됐음을 보여준다. 다만 낙찰용량은 준공물량이 아니며 인허가·금융조달·최종계약이 실제 건설전환을 좌우한다.
017 | top  | 2026-07-21 | EU | 2026-07-21_EU_08 | Iberdrola, 핀란드 Caruna 80% 인수계약 체결 | FACT: Iberdrola는 7월 21일 Caruna 지분 80% 인수계약을 체결했다. 거래는 부채를 포함한 Caruna 100%의 기업가치를 약 50억유로로 평가하며 Iberdrola의 지분대금은 약 20억유로다. Caruna는 약 150만명에 전력을 공급하고 약 8만9,000km의 배전망을 운영하며 기존 주주는 20%를 유지한 | GATE: 거래는 규제승인을 거쳐 2027년 1분기 종결될 예정이다. 기업가치에는 부채가 포함되므로 지분대금과 단순 비교하면 안 되며, 인수 후 망투자·규제수익률·차입구조가 가치창출을 좌우한다.
018 | top  | 2026-07-21 | EU | 2026-07-21_EU_04 | Westnetz, 재생에너지 병설 계통충전형 BESS에 유연 접속계약 확대 | FACT: Westnetz는 2026년 7월 21일 태양광·풍력 설비와 동일 접속점을 사용하는 계통충전형 BESS에 새로운 유연 접속계약을 적용한다고 밝혔다. 계약은 발전설비와 배터리의 합산 수출을 고정 최대치로 제한하고, 지역 풍력·태양광 발전량이 높은 날에는 배터리 수출가능량을 단계적으로 줄인다. Westnetz는 배터리 접속신 | GATE: 7월 21일 조치는 4월에 도입한 재생에너지 전용 저장장치 계약을 계통충전형 병설 BESS까지 확대한 별도 후속조치다. 접속용량을 고정 상한으로 제한하고 지역 재생에너지 발전예측에 따라 배터리 출력도 조정해, 증설 없이 접속 가능한 프로젝트 범위를 넓히는 구조다.
019 | top  | 2026-07-21 | EU | 2026-07-21_EU_03 | CATL·Solarpro, 중동부유럽 나트륨이온 ESS 2GWh 협력계약 | FACT: CATL과 Solarpro는 중동부유럽을 대상으로 2GWh 규모 나트륨이온 에너지저장시스템을 전개하는 전략협력계약을 체결했다. 현재 확인된 범위는 협력계약의 기술유형·지역·규모다. | GATE: 2GWh는 전략협력계약의 범위이지 확정 인도·설치물량이 아니다. 구체적인 프로젝트 부지, 발주와 설치일정이 공개돼야 실제 전개규모를 판단할 수 있다.
020 | top  | 2026-07-20 | US | 2026-07-20_US_06 | 메인주, 최대 360MW 첫 경쟁형 저장조달안 PUC 제출 | FACT: 메인주 에너지자원부는 2026년 7월 20일 주 최초의 경쟁형 에너지저장 조달계획을 공공유틸리티위원회(PUC)에 제출했다. 제안은 최대 360MW 조달을 목표로 하며 PUC 승인 이후 최종 RFP와 프로젝트 제안접수가 가능하다. | GATE: 최대 360MW는 확정 낙찰량이 아니라 규제기관 심사를 받는 조달안의 상한이다. PUC 승인과 최종 RFP 조건을 통과한 제안만 실제 계약으로 이어질 수 있다.
021 | top  | 2026-07-20 | US | 2026-07-20_US_05 | Avantus Aratina 1, 200MW 태양광·500MWh 저장 상업운전 개시 | FACT: Avantus의 Aratina 1은 태양광 200MW와 배터리저장 500MWh로 구성된 프로젝트다. 회사는 해당 프로젝트가 상업운전을 시작했다고 발표했다. | GATE: 상업운전 개시는 프로젝트 실행완료를 확인하는 이정표다. 다만 공개된 500MWh는 에너지용량이며 배터리 출력과 초기 운영성과는 별도로 확인해야 한다.
022 | top  | 2026-07-20 | KR | 2026-07-20_KR_02 | 중부발전과 탑선, 96MW/576MWh BESS 발전사업허가 확보 | FACT: 한국중부발전은 중부발전과 탑선 컨소시엄이 96MW, 배터리 용량 576MWh BESS 사업의 우선협상대상자로 선정됐다고 밝혔다. 이후 뉴시스는 발전사업허가 승인을 보도했고, 전기신문도 같은 설비규모를 확인했다. | GATE: 발전사업허가는 사업권 진전의 핵심 단계지만 착공이나 상업운전을 의미하지 않는다. 후속 인허가와 금융조달, 조달 및 건설일정의 이행이 프로젝트 실행성을 가른다.
023 | top  | 2026-07-20 | KR | 2026-07-20_KR_01 | 정부, 지연 발전사업 약 30GW 진척도 9월까지 점검 | FACT: 기후에너지환경부는 개정 송배전용전기설비 이용규정이 2026년 7월 20일부터 시행된다고 발표했다. SBS는 정부가 약 30GW 규모 발전사업의 진척도를 9월까지 점검한다고 보도했다. | GATE: 규정시행과 약 30GW 점검은 계통접속 관리강화를 보여주지만 계약해지나 용량회수를 뜻하지 않는다. 점검결과와 후속조치의 범위가 실제 계통접근 개선효과를 가른다.
024 | top  | 2026-07-20 | GL | 2026-07-20_GL_06 | Frontier, Waroona 1단계 132MWdc 태양광 EPC에 Monford 선정 | FACT: Frontier Energy는 Waroona Renewable Energy Project 1단계의 고정가격 EPC 계약자로 Monford Group을 선정했다. 현재 직접 확인된 1단계 설비규모는 태양광 132MWdc다. | GATE: 고정가격 EPC 사업자 선정은 프로젝트의 실행조건을 구체화한다. 다만 실제 공사착수와 준공을 의미하지 않으므로 계약이행과 현장진척을 별도로 확인해야 한다.
025 | top  | 2026-07-20 | EU | 2026-07-20_EU_03 | Return·ENGIE, 스페인 55MW/220MWh BESS에 10년 톨링 계약 | FACT: Return과 ENGIE는 스페인 바스크 지역의 배터리 프로젝트 3곳, 합계 55MW/220MWh에 대해 10년 전면 톨링 계약을 체결했다. Return은 자산을 개발·소유·운영하고 ENGIE는 시장에서 포트폴리오의 유연성을 최적화한다. | GATE: 장기 톨링은 자산소유자와 시장운영자의 역할을 구체화하는 상업계약이다. 다만 프로젝트의 건설완료나 상업운전을 의미하지 않으므로 개발·건설 진척을 별도로 확인해야 한다.
026 | top  | 2026-07-20 | EU | 2026-07-20_EU_01 | 독일 Waltrop 900MW·최소 1.8GWh BESS, 변전소·기반시설 건설결정 | FACT: Trianel 등 Waltrop BESS 주주들은 900MW·최소 1.8GWh 프로젝트의 변전소와 기반시설 건설을 승인했다. 현지 보도는 착공을 2026년 가을, 가동을 2028년 3분기로 제시했다. 전체 저장설비의 공정과 조달은 이후 단계에서 진행된다. | GATE: 건설결정은 초대형 프로젝트가 발표단계에서 현장준비 단계로 이동했음을 보여준다. 다만 이번 결정의 대상은 변전소와 기반시설이며 전체 BESS 본공사 완료를 뜻하지 않는다. 2026년 가을 착공과 2028년 3분기 가동일정의 이행이 핵심이다.
027 | top  | 2026-07-17 | JP | 2026-07-17_JP_01 | 일본, 장기 탈탄소 경매 저장기술별 400MW 구분안 제시 | FACT: 일본 정부는 2026년 7월 17일 제4회 장기 탈탄소 전원 경매안에 대한 의견수렴을 시작했다. 관련 논의안은 저장장치를 리튬이온, 비리튬, 양수·장주기로 나누고 각 400MW 모집구분을 제시했다. | GATE: 저장기술을 하나의 가격경쟁군으로 묶지 않고 기술별로 분리하려는 제도설계다. 의견수렴 단계이므로 최종 모집요강과 낙찰조건을 확인해야 한다.
028 | top  | 2026-07-17 | EU | 2026-07-17_EU_03 | EU, 2030년 저장장치 필요량 200GW 공식 제시 | FACT: EU 집행위원회는 2026년 7월 17일 전력화 확대를 위한 행동계획을 채택했다. 계획은 현재 약 55GW인 저장장치 필요량을 2030년 200GW 수준으로 제시했다. | GATE: 200GW는 EU 차원의 정책상 필요량이며 국가별 의무설치량이나 확정 조달물량이 아니다. 후속 법안, 재정수단, 국가별 이행계획이 실제 수요전달 경로다.
029 | top  | 2026-07-17 | CN | 2026-07-17_CN_03 | 중국 간쑤성, 신형저장 가동설비 10GW 돌파 | FACT: 간쑤 에너지감관판공실은 간쑤 전력망의 신형저장 가동설비가 10GW를 넘어섰다고 밝혔다. China5e는 2026년 6월 말 간쑤성 신재생 설비를 81.54GW로 집계했다. | GATE: 설비용량 증가는 저장자산 기반을 보여주지만 실제 충방전횟수와 시장수익을 의미하지 않는다. 이용률과 시장참여 수익, 계통운영 데이터가 다음 판단기준이다.
030 | top  | 2026-07-17 | CN | 2026-07-17_CN_02 | Ember, 중국 BESS 시장의 과제를 증설보다 활용도로 제시 | FACT: Ember 분석을 인용한 보도에 따르면 중국의 리튬이온 BESS 설치량은 2026년 1분기 약 150GW였다. 2026년 1~4월 신규설치 가운데 독립형 비중은 84.7%, 재생에너지 연계형은 8.4%였다. | GATE: 설치량, 독립형 비중, 충방전횟수, 시장참여는 서로 다른 지표다. 증설에서 활용도로의 전환이라는 평가는 Ember 보고서에 귀속한다.
031 | top  | 2026-07-16 | GL | 2026-07-16_GL_02 | IEA, 중국 희토류 통제 전면화 시 연 6.5조달러 생산위험 경고 | FACT: IEA는 2026년 7월 16일 Global Critical Minerals Outlook 2026을 공개했다. 중국의 확대 희토류 수출통제가 전면 시행될 경우 중국 외 자동차·첨단기술·방산·에너지 부문의 연간 생산 6.5조달러가 위험에 놓일 수 있다고 추산했다. 별도 배터리급 흑연 시나리오에서는 중국과의 거래가 완전히  | GATE: 확대 희토류 조치는 2026년 11월까지 유예됐지만 IEA는 공급집중 취약성이 남아 있다고 평가했다. 6.5조달러와 3,000억달러 이상은 각각 희토류 통제 전면 시행과 배터리급 흑연 거래 완전중단을 가정한 별도 위험 추정치다.
032 | top  | 2026-07-16 | EU | 2026-07-16_EU_03 | EnBW·Zelestra, 이탈리아 300MW·4시간 BESS 장기 톨링 계약 | FACT: EnBW와 Zelestra는 이탈리아 에밀리아로마냐에서 개발 중인 약 500MW·4시간 BESS 가운데 300MW에 대한 장기 톨링 계약을 체결했다. 공개된 계약대상은 출력 300MW와 4시간 저장구성이다. | GATE: 계약대상은 전체 약 500MW 프로젝트 가운데 300MW이며 4시간 저장구성을 적용한다. 톨링 계약체결과 프로젝트 건설·가동은 별도 단계로 봐야 한다.
033 | top  | 2026-07-16 | CN | 2026-07-16_CN_06 | 중국 상반기 동력·저장 배터리 생산 1,068.9GWh, 53.3% 증가 | FACT: 중국자동차동력배터리산업혁신연맹(CABIA) 자료에 따르면 2026년 상반기 중국의 동력·저장 배터리 합산 생산은 1,068.9GWh로 전년 동기보다 53.3% 증가했다. 생산증가율은 동력용과 저장용을 함께 집계한 수치다. | GATE: 1,068.9GWh는 동력용과 저장용을 합친 생산량이다. EV 탑재량이나 실제 수요와 비교할 때 지표의 범위와 분모를 구분해야 한다.
034 | top  | 2026-07-16 | CN | 2026-07-16_CN_03 | 중국 6월 동력배터리 탑재 76.5GWh…LFP 비중 83.3% | FACT: 중국 자동차동력배터리산업혁신연맹의 2026년 6월 월간정보에 따르면 국내 동력배터리 탑재량은 76.5GWh로 전월 대비 6.4%, 전년 동월 대비 31.5% 증가했다. LFP는 63.7GWh로 전체의 83.3%를 차지했고 전월 대비 9.2%, 전년 대비 34.4% 늘었으며 삼원계는 12.7GWh로 16.5%를 차지했다.  | GATE: 6월 탑재량 증가율은 생산 206.0GWh와 판매 196.0GWh 규모보다 낮아 생산·판매·차량탑재 사이의 시차를 보여준다. LFP 비중 83.3%와 상반기 누적 81.0%가 지속되는지, 수출 36.2GWh와 재고흐름이 하반기 수급판단의 핵심이다.
035 | top  | 2026-07-16 | CN | 2026-07-16_CN_02 | 홍콩 첫 대형 폐EV 배터리 처리시설, 6월 가동 후 7월 공식 개막 | FACT: 홍콩 첫 대형 EV 배터리 처리시설은 2026년 6월 Tuen Mun EcoPark에서 운영을 시작하고 7월 16일 공식 개막식을 열었다. 시설은 10만제곱피트 규모로 연간 최대 1만톤, 약 2만대분의 배터리를 처리해 리튬·니켈·코발트가 포함된 블랙매스를 생산한다. 홍콩 정부는 폐EV 배터리 발생량이 2026년 약 1,3 | GATE: 시설의 연 1만톤 명목 처리능력은 홍콩 정부가 추정한 2026년 폐EV 배터리 발생량 약 1,300톤과 2030년 약 6,700톤을 웃돈다. 2023~2025년 허가시설의 전처리 후 해외반출 실적은 약 130톤에 그쳐 초기 가동률은 현지 회수량 확대, 마카오 등 역외 
036 | top  | 2026-07-16 | CN | 2026-07-16_CN_01 | 중국, 리튬이온 배터리 소비세 2026년 2%·2027년 4% 적용 | FACT: 중국 2026년 제20호 공고는 리튬이온 배터리에 2026년 9월 1일부터 2%, 2027년 9월 1일부터 4%의 소비세를 적용한다. 나트륨이온·전고체·연료전지는 2028년 12월 31일까지 면제한다. | GATE: 실제 과세범위는 공고 첨부 품목주석과 수입단계 세목에 따라 달라진다. 가격·마진 영향은 제품코드, 계약조건, 세부담 전가구조를 함께 봐야 한다.
037 | top  | 2026-07-15 | US | 2026-07-15_US_03 | 미국, 브라질산 25% 관세 확정…희토류 금속·화합물은 예외 | FACT: USTR는 2026년 7월 15일 Section 301 최종조치로 브라질산 수입품에 25% 추가관세를 부과한다고 발표했다. 관세는 7월 22일 발효하며 Annex에는 희토류 금속·스칸듐·이트륨, 세륨 화합물, 희토류 산화물·염화물 혼합물과 기타 희토류 화합물이 예외 세번으로 포함됐다. | GATE: 예외는 ‘핵심광물 전체’가 아니라 연방관보 Annex에 열거된 HTSUS 세번에 한정된다. 희토류 예외는 광범위한 무역압박과 원료공급 안정성을 분리한 정책구조로 읽어야 한다.
038 | top  | 2026-07-15 | KR | 2026-07-15_KR_01 | 한국 직접 PPA 중개플랫폼 시범가동…공급·수요 각각 약 1GW | FACT: 기후에너지환경부는 2026년 7월 15일 재생에너지 발전사업자와 수요기업의 계약희망 물량을 게시하는 직접 PPA 중개플랫폼 시범사업을 시작했다. 총 43개 기업·협회가 참여했고 조사된 공급·수요물량은 각각 약 1GW이며, 연결된 참여자는 비공개 협상을 진행할 수 있다. 모의거래는 7월 말까지 진행되고 정식 운영은 8월 초 | GATE: 플랫폼은 거래상대 탐색과 협상비용을 낮추는 시장 인프라지만, 게시물량이 실제 계약량을 의미하지는 않는다. 등록물량의 협상전환율, 계약기간, 가격과 정산조건이 직접 PPA 시장형성 여부를 가를 수 있다.
039 | top  | 2026-07-15 | GL | 2026-07-15_GL_05 | 인도, 계통저장용 ACC 제조능력 10GWh 글로벌 입찰 | FACT: 인도 중공업부는 2026년 7월 15일 계통형 저장용 ACC 제조능력 누적 10GWh의 글로벌 RFP를 공개했다. 입찰서 제출마감은 2026년 10월 13일이다. | GATE: 현재 단계는 제조능력 배정 전의 경쟁입찰이다. 수혜기업, 투자규모, 실제 생산능력은 평가와 계약 이후 확정된다.
040 | top  | 2026-07-15 | GL | 2026-07-15_GL_01 | 호주 GenCost 최종본, 양수저장 추정비 상향·배터리 비용 하락 | FACT: CSIRO와 AEMO는 2026년 7월 15일 GenCost 2025-26 최종보고서를 발표했다. 공식 발표는 배터리 기술비용이 계속 낮아지고 용량이 확대되는 반면 가스터빈 비용은 상승하고 있다고 평가했다. 전문매체는 최종본의 양수저장 현재 자본비 추정치가 2025년 12월 의견수렴 초안보다 상향됐다고 보도했다. | GATE: GenCost는 발전·저장기술의 비교모델이지 개별 프로젝트의 확정 견적이 아니다. 양수저장과 배터리는 지속시간·부지·송전·계통가치가 달라 동일한 조건에서 비용과 실행위험을 함께 비교해야 한다.
041 | top  | 2026-07-14 | US | 2026-07-14_US_09 | 핵심소재 지역혁신 엔진, 초기 1,500만달러·최대 1.6억달러 지원 | FACT: UMKC는 핵심소재 관련 엔진에 초기 2년간 1,500만달러가 지원된다고 발표했다. NSF는 지원규모가 10년간 최대 1억6천만달러까지 확대될 수 있다고 밝혔다. | GATE: 일회성 연구비보다 단계별 성과평가에 연동된 장기지원 구조가 핵심이다. 초기 사업성과가 후속자금 집행을 좌우하는 구조로 볼 수 있다.
042 | top  | 2026-07-14 | US | 2026-07-14_US_02 | Google·Cypress Creek, 아칸소 Steel River 착공…초기 저장 1.9GWh | FACT: Google과 Cypress Creek Energy는 2026년 7월 14일 아칸소주 미시시피카운티에서 Steel River Energy Center 착공을 발표했다. Google은 1·2단계의 투자자 겸 전력구매자로 참여하며 이 단계는 태양광 1.6GWdc와 저장 1.9GWh를 추가한다. 전체 사업은 2029년 태양광  | GATE: 1·2단계는 태양광 1.6GWdc와 BESS 1.9GWh를 지역 전력망에 추가하며, 전체 3단계는 2029년 태양광 2.5GWdc·저장 2.9GWh 완공을 목표로 한다. Google의 전력구매와 착공은 금융조달 이후 건설실행을 확인하지만 단계별 상업운전 일정은 남아 있
043 | top  | 2026-07-14 | US | 2026-07-14_US_01 | 현대차–SK온 조지아 35GWh 합작공장, 초기 생산·HMGMA 납품 개시 | FACT: AJC와 한국 매체들은 2026년 7월 현대차그룹과 SK온의 미국 조지아 합작공장이 전월부터 초기 생산을 시작해 현대차그룹 메타플랜트 아메리카에 첫 물량을 공급하고 있다고 보도했다. 완전가동 시 연간 명목 생산능력은 35GWh, 전기차 약 30만대분이다. 현재 가동률과 실제 출하량은 공개되지 않았다. | GATE: 회사 대변인 확인은 초기 생산과 공급개시를 뒷받침하지만 완전가동·수율·월별 출하를 뜻하지 않는다. 35GWh와 전기차 약 30만대분은 완전가동 시 명목능력이다.
044 | top  | 2026-07-14 | GL | 2026-07-14_GL_04 | 필리핀 MTerra 1단계 통전…태양광 1.373GW·BESS 3.3GWh | FACT: Meralco PowerGen은 2026년 7월 14일 MTerra Solar 1단계 준공행사와 1,373MW 태양광·825MW·3,300MWh BESS 통전을 발표했다. 741개 배터리 유닛은 모두 통전됐고, 관련 계통공사가 끝날 때까지 Luzon 계통 최대 수출은 750MW로 제한된다. 필수 계통시험을 완료한 설비는  | GATE: 준공행사와 통전은 대규모 자산이 물리적 실행단계에 들어갔다는 의미다. 다만 계통수출은 관련 공사 완료 전 최대 750MW로 제한되고, 대통령실이 밝힌 약 91% 공정률과 8월 완전 상업가동 목표는 향후 일정이므로 전체 설비의 즉시 완전가동과 동일하지 않다.
